featureNam,featureRef,featureAlt,POINT_X,POINT_Y,admin1_state,admin2_county,admin3_payam,admin4_boma,County_id,county_x_centroid,county_y_centroid,Boma_id,boma_x_centroid,boma_y_centroid,Payam_id,payam_x_centroid,payam_y_centroid
Bel'woi,Belwoi,,28.6964709,8.364857769,Warrap,Tonj North,Aliek,Rorkou,44,28.9168122,8.246538645,1283,28.7831113,8.407216825,304,28.81278994,8.558606593
Agyravel,Agyravel,,28.25968753,8.36596622,Warrap,Gogrial East,Toch West,Malual Awien,41,28.59139128,8.600532026,1208,28.30453418,8.406605982,281,28.32909235,8.462330446
Mabit,Mabit,,28.68186866,8.366202303,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Amian,Amian,,29.15,8.3666667,Warrap,Tonj North,Akop,Maguen,44,28.9168122,8.246538645,1278,29.13417144,8.366791598,302,29.27997532,8.413533565
Malwal,Malwal,Malual,27.93827872,8.367325703,Warrap,Gogrial West,Kuac North,Monyjoc,42,28.10580194,8.57656553,1232,27.97176074,8.363147067,288,28.06175026,8.329215081
Dumbil,Dumbil,,28.58492298,8.369469262,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Mongar,Mongar,Mangar,28.01972966,8.373109485,Warrap,Gogrial West,Kuac North,Monyjoc,42,28.10580194,8.57656553,1232,27.97176074,8.363147067,288,28.06175026,8.329215081
Aling,Aling,,28.57931453,8.37364269,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Ayuang,Ayuang,,28.17633,8.37517,Warrap,Gogrial West,Kuac North,Majok,42,28.10580194,8.57656553,1231,28.14943055,8.368111209,288,28.06175026,8.329215081
Ayuang2,Ayuang2,,28.10013665,8.375815787,Warrap,Gogrial West,Kuac North,Majok,42,28.10580194,8.57656553,1231,28.14943055,8.368111209,288,28.06175026,8.329215081
Moing,Moing,,28.61698729,8.378018243,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Abiey,Abiey,Abyei,28.39736286,8.37809558,Warrap,Gogrial East,Toch North,Mayomchol,41,28.59139128,8.600532026,1207,28.4000035,8.409043133,280,28.54515069,8.757233115
Maiwut,Maiwut,,29.16636,8.37818,Warrap,Tonj North,Akop,Maguen,44,28.9168122,8.246538645,1278,29.13417144,8.366791598,302,29.27997532,8.413533565
Akim,Akim,,28.51967752,8.386616862,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Appig,Appig,,28.57826329,8.387740663,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Fan Agar,Fan Agar,,28.35580118,8.392458586,Warrap,Gogrial East,Toch West,Malual Awien,41,28.59139128,8.600532026,1208,28.30453418,8.406605982,281,28.32909235,8.462330446
Moradeing,Moradeing,,27.91736405,8.389306589,Warrap,Gogrial West,Kuac North,Monyjoc,42,28.10580194,8.57656553,1232,27.97176074,8.363147067,288,28.06175026,8.329215081
Meshra Ashol,Meshra Ashol,,29.32988192,8.390216899,Warrap,Tonj North,Akop,Acholok,44,28.9168122,8.246538645,1276,29.36894959,8.458515933,302,29.27997532,8.413533565
