featureNam,featureRef,featureAlt,POINT_X,POINT_Y,admin1_state,admin2_county,admin3_payam,admin4_boma,County_id,county_x_centroid,county_y_centroid,Boma_id,boma_x_centroid,boma_y_centroid,Payam_id,payam_x_centroid,payam_y_centroid
Manger,Manger,,28.81063483,8.594854862,Warrap,Tonj North,Alabek,Mading,44,28.9168122,8.246538645,1281,28.8581842,8.543497367,303,29.04836605,8.584674128
Liet-Nhom,Liet-Nhom,Lietnhom,28.47477931,8.596277413,Warrap,Gogrial East,Toch East,Thuramon,41,28.59139128,8.600532026,1205,28.82166759,8.85098921,279,28.76969085,8.788344901
Rumlek,Rumlek,,27.9483533,8.59717908,Warrap,Gogrial West,Gogrial,Mandeng,42,28.10580194,8.57656553,1227,28.06557772,8.480766752,287,28.03302642,8.496977221
Kunuk,Kunuk,,28.19504883,8.604624361,Warrap,Gogrial West,Alek South,Ameeth,42,28.10580194,8.57656553,1219,28.23082566,8.591245006,285,28.14947446,8.61208577
Koch,Koch,,28.39,8.60483,Warrap,Gogrial East,Toch West,Panacier,41,28.59139128,8.600532026,1209,28.38210015,8.582609405,281,28.32909235,8.462330446
Rig Num,Rig Num,,28.58788102,8.60524967,Warrap,Gogrial East,Toch East,Thuramon,41,28.59139128,8.600532026,1205,28.82166759,8.85098921,279,28.76969085,8.788344901
N'gob Atiang,Ngob Atiang,,28.1247398,8.60593799,Warrap,Gogrial West,Alek South,Ngapathian,42,28.10580194,8.57656553,1221,28.14182298,8.585838218,285,28.14947446,8.61208577
Pan-Achier,Pan-Achier,Panacier,28.3628628,8.607548883,Warrap,Gogrial East,Toch West,Panacier,41,28.59139128,8.600532026,1209,28.38210015,8.582609405,281,28.32909235,8.462330446
Paleipin,Paleipin,,28.89,8.61,Warrap,Tonj North,Alabek,Adinydou,44,28.9168122,8.246538645,1279,28.91203982,8.64305656,303,29.04836605,8.584674128
Acha Kwel,Acha Kwel,,27.95692647,8.611854187,Warrap,Gogrial West,Gogrial,Gogrial,42,28.10580194,8.57656553,1225,28.07417649,8.550909672,287,28.03302642,8.496977221
N'yandor,Nyandor,,28.27035592,8.616568956,Warrap,Gogrial West,Alek North,Mankuaac,42,28.10580194,8.57656553,1217,28.30580961,8.676065033,284,28.29537706,8.732276882
Wathjak,Wathjak,,28.36517,8.618,Warrap,Gogrial East,Toch West,Panacier,41,28.59139128,8.600532026,1209,28.38210015,8.582609405,281,28.32909235,8.462330446
Tit Agok,Tit Agok,Titagok,28.58,8.62,Warrap,Gogrial East,Toch East,Thuramon,41,28.59139128,8.600532026,1205,28.82166759,8.85098921,279,28.76969085,8.788344901
Awo,Awo,,28.71997553,8.620332519,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Rom,Rom,Roum,28.22255161,8.621426456,Warrap,Gogrial West,Alek South,Ameeth,42,28.10580194,8.57656553,1219,28.23082566,8.591245006,285,28.14947446,8.61208577
